lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
SHRIRAM,1.MTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,741,
SHRIRAM,1.MTD,Renewal,Flow1(Auto),2.0,Workable leads,,741,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),7.1,Selfie uploaded,KYC_FAILED,737,14.4
KSF,1.MTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,731,
KSF,1.MTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,730,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),9.0,BRE2 completed,,727,
NACL,1.MTD,Fresh,Flow2(Manual),6.0,Child_Lead_Created,,724,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),13.0,Application submitted by user,,724,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),12.0,Mandate done,,724,
NACL,1.MTD,Fresh,Flow2(Manual),2.0,Workable leads,,724,
PIRAMAL,1.MTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,720,
PIRAMAL,1.MTD,Renewal,Flow1(Auto),2.0,Workable leads,,720,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),6.1,Child_Lead_Created,KYC_IN_PROGRESS,715,14.6
SHRIRAM,1.MTD,Fresh,Flow2(Manual),10.0,Disbursal acc verified,,709,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),9.0,BRE2 completed,,708,
SHRIRAM,1.MTD,Renewal,Flow1(Auto),4.0,BRE1 completed,,706,
SHRIRAM,1.MTD,Renewal,Flow1(Auto),7.0,Selfie uploaded,,706,
PYFL,2.LMTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,704,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),10.0,Disbursal acc verified,,703,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),12.0,Mandate done,,700,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),13.0,Application submitted by user,,699,
KSF,1.MTD,Fresh,Flow2(Manual),11.0,Review submit,,691,
PIRAMAL,2.LMTD,Renewal,Flow1(Auto),2.0,Workable leads,,679,
PIRAMAL,2.LMTD,Renewal,Flow1(Auto),6.0,Child_Lead_Created,,679,
NACL,2.LMTD,Fresh,Flow1(Auto),7.0,Selfie uploaded,,678,
